filename,number_of_pages,categorized,all_categorized,file_location,content
104-10074-10040.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10074-10040.pdf,
104-10074-10066.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10074-10066.pdf,
104-10074-10090.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10074-10090.pdf,
104-10074-10095.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10074-10095.pdf,
104-10074-10347.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10074-10347.pdf,
104-10074-10349.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10074-10349.pdf,
104-10074-10355.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10074-10355.pdf,
104-10074-10403.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10074-10403.pdf,
104-10074-10413.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10074-10413.pdf,
104-10075-10042.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10075-10042.pdf,
104-10075-10099.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10075-10099.pdf,
104-10075-10200.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10075-10200.pdf,
104-10075-10203.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10075-10203.pdf,
104-10075-10225.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10075-10225.pdf,
104-10075-10232.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10075-10232.pdf,
104-10075-10250.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10075-10250.pdf,
104-10075-10365.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10075-10365.pdf,
104-10075-10373.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10075-10373.pdf,
104-10076-10000.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10076-10000.pdf,
104-10076-10058.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10076-10058.pdf,
104-10076-10116.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10076-10116.pdf,
104-10076-10153.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10076-10153.pdf,
104-10076-10217.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10076-10217.pdf,
104-10076-10229.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10076-10229.pdf,
104-10076-10277.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10076-10277.pdf,
104-10076-10295.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10076-10295.pdf,
